load_zone,fuel,period,fuel_cost
2025964,NaturalGas,2030,3.25
2025972,NaturalGas,2030,3.89
2025980,NaturalGas,2030,3.42
2025982,NaturalGas,2030,3.62
2025984,NaturalGas,2030,3.78
2025985,NaturalGas,2030,3.72
2025987,NaturalGas,2030,3.86
2025998,NaturalGas,2030,3.94
2025999,NaturalGas,2030,3.85
2026000,NaturalGas,2030,3.75
2026006,NaturalGas,2030,3.58
2026009,NaturalGas,2030,3.78
2026013,NaturalGas,2030,4.56
2026017,NaturalGas,2030,3.93
2026018,NaturalGas,2030,3.54
2026019,NaturalGas,2030,3.74
2026020,NaturalGas,2030,4.0
2026023,NaturalGas,2030,3.86
2026026,NaturalGas,2030,3.62
2026029,NaturalGas,2030,3.94
2026030,NaturalGas,2030,3.81
2026031,NaturalGas,2030,3.15
2026034,NaturalGas,2030,4.21
2026038,NaturalGas,2030,3.23
2026039,NaturalGas,2030,3.97
2026040,NaturalGas,2030,3.73
2026042,NaturalGas,2030,4.2
2026043,NaturalGas,2030,3.75
2026044,NaturalGas,2030,3.85
2026051,NaturalGas,2030,4.23
2026052,NaturalGas,2030,3.22
2026053,NaturalGas,2030,3.64
2026056,NaturalGas,2030,3.85
2026061,NaturalGas,2030,4.15
2026062,NaturalGas,2030,4.2
2026063,NaturalGas,2030,4.04
2026064,NaturalGas,2030,4.11
2026066,NaturalGas,2030,3.98
2026067,NaturalGas,2030,4.0
2026069,NaturalGas,2030,3.68
2026073,NaturalGas,2030,3.56
2026074,NaturalGas,2030,3.68
2026076,NaturalGas,2030,3.39
2026077,NaturalGas,2030,3.21
2026078,NaturalGas,2030,4.07
2026080,NaturalGas,2030,3.71
2026097,NaturalGas,2030,3.82
2026098,NaturalGas,2030,3.59
2026099,NaturalGas,2030,3.84
2026100,NaturalGas,2030,3.66
2026101,NaturalGas,2030,3.63
2026102,NaturalGas,2030,4.3
2026105,NaturalGas,2030,3.92
2026106,NaturalGas,2030,3.62
2026107,NaturalGas,2030,3.66
2026110,NaturalGas,2030,4.14
2026128,NaturalGas,2030,4.36
2026129,NaturalGas,2030,3.97
2026133,Uranium,2030,1.0
2026134,Uranium,2030,1.0
2026138,NaturalGas,2030,4.26
2026139,NaturalGas,2030,4.12
2026141,NaturalGas,2030,3.7
2026163,NaturalGas,2030,3.48
2026164,NaturalGas,2030,3.85
2026165,NaturalGas,2030,4.07
2026166,NaturalGas,2030,3.46
2026167,NaturalGas,2030,3.89
2026173,NaturalGas,2030,4.16
2026174,NaturalGas,2030,3.84
2026175,NaturalGas,2030,4.2
2026176,NaturalGas,2030,3.79
2026177,NaturalGas,2030,4.02
2026178,NaturalGas,2030,3.76
2026179,NaturalGas,2030,3.69
2026180,NaturalGas,2030,3.91
2026181,NaturalGas,2030,3.88
2026182,NaturalGas,2030,4.3
2026183,NaturalGas,2030,3.67
2026185,NaturalGas,2030,3.93
2026190,NaturalGas,2030,3.82
2026191,NaturalGas,2030,3.59
2026208,NaturalGas,2030,3.42
2026215,NaturalGas,2030,4.05
2026216,NaturalGas,2030,4.02
2026217,NaturalGas,2030,3.74
2026219,NaturalGas,2030,4.1
2026229,NaturalGas,2030,4.13
2026230,NaturalGas,2030,3.78
2026237,NaturalGas,2030,4.53
2026238,NaturalGas,2030,3.66
2028725,NaturalGas,2030,3.71
2028729,NaturalGas,2030,4.05
2028765,NaturalGas,2030,3.95
2028766,NaturalGas,2030,3.95
2028767,NaturalGas,2030,4.44
2028768,NaturalGas,2030,4.0
2028769,NaturalGas,2030,3.63
2028770,NaturalGas,2030,3.8
2028771,NaturalGas,2030,3.49
2028778,NaturalGas,2030,3.46
2028779,NaturalGas,2030,4.2
2028784,NaturalGas,2030,3.66
2028785,NaturalGas,2030,3.85
2028786,NaturalGas,2030,3.61
2028787,NaturalGas,2030,3.57
2028788,NaturalGas,2030,3.83
2028789,NaturalGas,2030,3.28
2028791,NaturalGas,2030,3.87
2028792,NaturalGas,2030,3.91
2028797,NaturalGas,2030,3.72
2028798,NaturalGas,2030,3.53
2028799,NaturalGas,2030,3.7
2028800,NaturalGas,2030,3.52
2028805,NaturalGas,2030,4.03
2028811,NaturalGas,2030,3.69
2028812,NaturalGas,2030,3.91
2028815,Coal,2030,2.24
2028816,Coal,2030,2.78
2028817,Coal,2030,2.44
2028820,NaturalGas,2030,3.77
2028821,NaturalGas,2030,3.36
2028831,NaturalGas,2030,4.12
2028835,NaturalGas,2030,3.7
2028837,NaturalGas,2030,3.77
2028838,NaturalGas,2030,3.29
2028844,NaturalGas,2030,4.06
2028845,NaturalGas,2030,3.68
2028846,NaturalGas,2030,4.02
2028850,NaturalGas,2030,3.54
2028851,NaturalGas,2030,3.34
2028852,NaturalGas,2030,3.81
2028853,NaturalGas,2030,4.27
2028854,NaturalGas,2030,4.09
2028855,NaturalGas,2030,4.18
2028856,NaturalGas,2030,4.17
2028871,NaturalGas,2030,3.81
2028872,NaturalGas,2030,3.81
2028874,NaturalGas,2030,3.45
2028885,NaturalGas,2030,3.32
2028886,NaturalGas,2030,3.32
2028887,NaturalGas,2030,3.34
2028901,NaturalGas,2030,3.74
2028907,NaturalGas,2030,3.63
2028908,NaturalGas,2030,4.04
2028919,NaturalGas,2030,3.86
2028926,NaturalGas,2030,4.04
2028927,NaturalGas,2030,3.56
2028928,NaturalGas,2030,3.4
2028929,NaturalGas,2030,3.55
2028930,NaturalGas,2030,3.53
2028934,NaturalGas,2030,3.62
2028938,NaturalGas,2030,4.21
2028939,NaturalGas,2030,3.26
2028941,NaturalGas,2030,4.01
2028942,NaturalGas,2030,3.76
2028946,NaturalGas,2030,3.63
2028957,NaturalGas,2030,3.85
2028978,NaturalGas,2030,3.99
2028984,NaturalGas,2030,3.54
2028994,NaturalGas,2030,3.7
2028995,NaturalGas,2030,3.95
2029000,NaturalGas,2030,3.96
2029001,NaturalGas,2030,3.68
2029002,NaturalGas,2030,4.2
2029004,NaturalGas,2030,3.72
2029006,NaturalGas,2030,3.66
2029007,NaturalGas,2030,3.65
2029010,NaturalGas,2030,4.4
2029011,NaturalGas,2030,3.94
2029013,NaturalGas,2030,4.21
2029018,NaturalGas,2030,3.71
2029019,NaturalGas,2030,4.08
2029020,NaturalGas,2030,4.02
2029025,NaturalGas,2030,5.19
2029027,NaturalGas,2030,3.86
2029028,NaturalGas,2030,4.08
2029029,NaturalGas,2030,4.02
2029030,NaturalGas,2030,4.14
2029031,NaturalGas,2030,3.15
2029032,NaturalGas,2030,3.54
2029042,NaturalGas,2030,4.6
2029043,NaturalGas,2030,3.99
2029044,NaturalGas,2030,3.56
2029059,NaturalGas,2030,3.5
2029060,NaturalGas,2030,3.73
2029075,NaturalGas,2030,3.78
2029076,NaturalGas,2030,3.88
2029083,NaturalGas,2030,3.45
2029084,NaturalGas,2030,4.34
2030281,NaturalGas,2030,4.43
2030297,NaturalGas,2030,4.85
2030298,NaturalGas,2030,4.31
2030299,NaturalGas,2030,4.27
2030300,NaturalGas,2030,3.77
2030301,NaturalGas,2030,4.38
2030306,Coal,2030,2.61
2030316,Coal,2030,2.38
2030317,Coal,2030,2.69
2030323,NaturalGas,2030,4.32
2030332,NaturalGas,2030,4.26
2030342,NaturalGas,2030,4.41
2030343,NaturalGas,2030,4.21
2030344,NaturalGas,2030,4.67
2030347,Coal,2030,2.34
2030349,NaturalGas,2030,4.04
