GENERATION_PROJECT,build_year,gen_predetermined_cap
g10484,2019,0.11527398284218812
g10485,2019,12.962782482696245
g10486,2019,12.962782482696245
g10487,2019,12.962782482696245
g10488,2019,12.962782482696245
g10489,2019,12.962782482696245
g10490,2019,101.77809683679473
g10491,2019,101.77809683679473
g10492,2019,101.77809683679473
g10493,2019,101.77809683679473
g10494,2019,101.77809683679473
g10495,2019,101.77809683679473
g10496,2019,10.12717381460644
g10497,2019,730.0
g10498,2019,730.0
g10499,2019,151.9076072190966
g10500,2019,151.9076072190966
g10501,2019,15.19076072190966
g10502,2019,15.19076072190966
g10503,2019,10.12717381460644
g10504,2019,10.12717381460644
g10505,2019,64.36734373695222
g10506,2019,29.976434491235064
g10507,2019,29.976434491235064
g10508,2019,136.71684649718694
g10509,2019,136.71684649718694
g10510,2019,136.71684649718694
g10511,2019,136.71684649718694
g10512,2019,136.71684649718694
g10513,2019,136.71684649718694
g10514,2019,91.44745598874442
g10515,2019,39.26616276509869
g10516,2019,97.90502121801795
g10517,2019,97.90502121801795
g10518,2019,97.90502121801795
g10519,2019,97.90502121801795
g10520,2019,46.584999547189625
g10521,2019,46.584999547189625
g10522,2019,50.10594947025263
g10523,2019,173.03998081803584
g10524,2019,173.03998081803584
g10525,2019,173.03998081803584
g10526,2019,173.03998081803584
g10527,2019,173.04301897018024
g10528,2019,173.03998081803584
g10529,2019,9.519543385730055
g10530,2019,113.93070541432246
g10531,2019,113.93070541432246
g10532,2019,113.93070541432246
g10533,2019,113.93070541432246
g10534,2019,88.11451909621616
g10535,2019,88.11451909621616
g10536,2019,17.01365200853882
g10537,2019,7.59538036095483
g10538,2019,242.33575837017273
g10539,2019,242.33575837017273
g10540,2019,242.33575837017273
g10541,2019,50.10594947025263
g10542,2019,36.45782573258319
g10543,2019,36.45782573258319
g10544,2019,0.03242080767436541
g10545,2019,0.013508669864318921
g10546,2019,0.013508669864318921
g10547,2019,136.71684649718694
g10548,2019,136.71684649718694
g10549,2019,136.71684649718694
g10550,2019,136.71684649718694
g10551,2019,136.71684649718694
g10552,2019,136.71684649718694
g10553,2019,19.596081331263463
g10554,2019,19.596081331263463
g10555,2019,34.432390969661895
g10556,2019,34.432390969661895
g10557,2019,34.432390969661895
g10558,2019,34.432390969661895
g10559,2019,262.7555990220048
g10560,2019,343.4261776691115
g10561,2019,6.987749932078445
g10562,2019,6.987749932078445
g10563,2019,27.84972799016771
g10564,2019,27.0801122517922
g10565,2019,17.72255417556127
g10566,2019,17.72255417556127
g10567,2019,17.72255417556127
g10568,2019,17.72255417556127
g10569,2019,96.10321108394456
g10570,2019,136.58881825590868
g10571,2019,136.58881825590868
g10572,2019,199.42167889160547
g10573,2019,225.67107390753137
g10574,2019,225.67107390753137
g10575,2019,225.67107390753137
g10576,2019,20.887295992625784
g10577,2019,20.882232405718483
g10578,2019,20.882232405718483
g10579,2019,20.887295992625784
g10580,2019,25.317934536516102
