GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
g12622i,coal,2070156,0,0.0,5.89,7.58964546,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12622,coal,2070156,0,.,5.89,7.58964546,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12623i,wind,2070160,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12623,wind,2070160,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12624i,hydro,2070163,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12624,hydro,2070163,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12625i,hydro,2070164,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12625,hydro,2070164,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12626i,hydro,2070164,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12626,hydro,2070164,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12627i,hydro,2070165,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12627,hydro,2070165,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12628i,hydro,2070165,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12628,hydro,2070165,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12629i,hydro,2070166,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12629,hydro,2070166,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12630i,hydro,2070166,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12630,hydro,2070166,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12631i,ng,2070167,0,5000.0,4.11,9.549899999999996,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12631,ng,2070167,0,.,4.11,9.549899999999996,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12632i,ng,2070167,0,5000.0,4.01,9.31998,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12632,ng,2070167,0,.,4.01,9.31998,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12633i,ng,2070167,0,5000.0,4.79,11.1354,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12633,ng,2070167,0,.,4.79,11.1354,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12634i,ng,2070167,0,5000.0,4.05,9.409199999999998,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12634,ng,2070167,0,.,4.05,9.409199999999998,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12635i,ng,2070167,0,5000.0,4.41,10.238940000000001,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12635,ng,2070167,0,.,4.41,10.238940000000001,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12636i,ng,2070167,0,5000.0,4.41,10.250190000000002,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12636,ng,2070167,0,.,4.41,10.250190000000002,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12637i,ng,2070167,0,5000.0,4.21,9.77625,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12637,ng,2070167,0,.,4.21,9.77625,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12638i,ng,2070167,0,5000.0,4.48,10.413809999999994,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12638,ng,2070167,0,.,4.48,10.413809999999994,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12639i,ng,2070167,0,5000.0,4.61,10.704869999999996,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12639,ng,2070167,0,.,4.61,10.704869999999996,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12640i,ng,2070167,0,5000.0,4.35,10.098240000000002,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12640,ng,2070167,0,.,4.35,10.098240000000002,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12641i,wind,2070168,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12641,wind,2070168,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12642i,coal,2070172,0,0.0,5.79,8.078837159999997,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12642,coal,2070172,0,.,5.79,8.078837159999997,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12643i,coal,2070173,0,0.0,5.7,8.435021340000002,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12643,coal,2070173,0,.,5.7,8.435021340000002,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12644i,coal,2070174,0,0.0,5.61,9.40707936,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12644,coal,2070174,0,.,5.61,9.40707936,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12645i,coal,2070176,0,0.0,5.28,6.7456686,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12645,coal,2070176,0,.,5.28,6.7456686,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12646i,wind,2070177,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
