GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
g10745,2019,5983000,0.0
g10746,2019,5983000,0.0
g10747,2019,5983000,0.0
g10748,2019,1956000,0.0
g10749,2019,5983000,0.0
g10750,2019,5983000,0.0
g10751,2019,5983000,0.0
g10752,2019,1956000,0.0
g10753,2019,1956000,0.0
g10754,2019,1956000,0.0
g10755,2019,1956000,0.0
g10756,2019,1956000,0.0
g10757,2019,5983000,0.0
g10758,2019,5983000,0.0
g10759,2019,5983000,0.0
g10760,2019,5983000,0.0
g10761,2019,5983000,0.0
g10762,2019,5983000,0.0
g10763,2019,1600000,0.0
g10764,2019,1600000,0.0
g10765,2019,1600000,0.0
g10766,2019,5983000,0.0
g10767,2019,1956000,0.0
g10768,2019,1956000,0.0
g10769,2019,1956000,0.0
g10770,2019,1616000,89696.30296827022
g10771,2019,1616000,89696.30296827022
g10772,2019,1616000,89696.30296827022
g10773,2019,1616000,89696.30296827022
g10774,2019,1616000,89696.30296827022
g10775,2019,1616000,89696.30296827022
g10776,2019,1616000,663758.0587155963
g10777,2019,1616000,555244.241221374
g10778,2019,1616000,305078.62040816323
g10779,2019,5983000,0.0
g10780,2019,5983000,0.0
g10781,2019,5983000,0.0
g10782,2019,5983000,0.0
g10783,2019,5983000,0.0
g10784,2019,5983000,0.0
g10785,2019,5983000,0.0
g10786,2019,5983000,0.0
g10787,2019,5983000,0.0
g10788,2019,5983000,0.0
g10789,2019,1956000,0.0
g10790,2019,1956000,0.0
g10791,2019,5983000,0.0
g10792,2019,5983000,0.0
g10793,2019,5983000,0.0
g10794,2019,5983000,0.0
g10795,2019,5983000,0.0
g10796,2019,5983000,0.0
g10797,2019,5983000,0.0
g10798,2019,5983000,0.0
g10799,2019,5983000,0.0
g10800,2019,5983000,0.0
g10801,2019,5983000,0.0
g10802,2019,5983000,0.0
g10803,2019,1616000,66688.32334494774
g10804,2019,1616000,66688.32334494774
g10805,2019,5983000,0.0
g10806,2019,1956000,0.0
g10807,2019,1956000,0.0
g10808,2019,1956000,0.0
g10809,2019,1600000,0.0
g10810,2019,1600000,0.0
g10811,2019,1600000,0.0
g10812,2019,1600000,0.0
g10813,2019,1616000,46771.14534161491
g10814,2019,1616000,46771.14534161491
g10815,2019,5255000,107232.866740291
g10816,2019,5983000,0.0
g10817,2019,5983000,0.0
g10818,2019,1616000,109075.65194805193
g10819,2019,1956000,0.0
g10820,2019,5983000,0.0
g10821,2019,1616000,47266.07824146208
g10822,2019,1616000,47266.07824146208
g10823,2019,1616000,47266.07824146208
g10824,2019,1616000,263867.73986013985
g10825,2019,1600000,0.0
g10826,2019,1600000,0.0
g10827,2019,1600000,0.0
g10828,2019,1600000,0.0
g10829,2019,1600000,0.0
g10830,2019,5983000,0.0
g10831,2019,5983000,0.0
g10832,2019,5983000,0.0
g10833,2019,5983000,0.0
g10834,2019,5983000,0.0
g10835,2019,5983000,0.0
g10836,2019,5983000,0.0
g10837,2019,5983000,0.0
g10838,2019,5983000,0.0
g10839,2019,5983000,0.0
g10840,2019,5983000,0.0
g10841,2019,5983000,0.0
g10842,2019,5983000,0.0
g10843,2019,5983000,0.0
g10844,2019,1616000,231033.05454545456
g10845,2019,1616000,231033.05454545456
g10846,2019,5983000,0.0
g10847,2019,5983000,0.0
g10848,2019,5983000,0.0
g10849,2019,5983000,0.0
g10850,2019,1616000,146434.76861167
g10851,2019,1616000,146434.76861167
g10852,2019,1616000,146434.76861167
g10853,2019,5983000,0.0
g10854,2019,5983000,0.0
g10855,2019,5983000,0.0
g10856,2019,5983000,0.0
g10857,2019,5983000,0.0
g10858,2019,1600000,0.0
g10859,2019,1600000,0.0
g10860,2019,1600000,0.0
g10861,2019,5983000,0.0
g10862,2019,5983000,0.0
g10863,2019,5983000,0.0
g10864,2019,5983000,0.0
g10865,2019,1616000,214617.30461538464
g10866,2019,1616000,148034.26666666666
g10867,2019,1616000,214617.30461538464
g10868,2019,5983000,0.0
g10869,2019,5983000,0.0
g10870,2019,5983000,0.0
g10871,2019,1600000,0.0
g10872,2019,1956000,0.0
g10873,2019,5983000,0.0
g10874,2019,5983000,0.0
g10875,2019,5983000,0.0
g10876,2019,5983000,0.0
g10877,2019,5983000,0.0
g10878,2019,5983000,0.0
g10879,2019,5983000,0.0
g10880,2019,5983000,0.0
g10881,2019,5983000,0.0
g10882,2019,5983000,0.0
g10883,2019,5983000,0.0
g10884,2019,5983000,0.0
g10885,2019,5983000,0.0
g10886,2019,5983000,0.0
g10887,2019,5983000,0.0
g10888,2019,5983000,0.0
g10889,2019,5983000,0.0
g10890,2019,5983000,0.0
g10891,2019,5983000,0.0
g10892,2019,5983000,0.0
g10893,2019,5983000,0.0
g10894,2019,5983000,0.0
g10895,2019,5983000,0.0
g10896,2019,5983000,0.0
g10897,2019,5983000,0.0
g10898,2019,5983000,0.0
g10899,2019,5983000,0.0
g10900,2019,5983000,0.0
g10901,2019,5983000,0.0
g10902,2019,5983000,0.0
g10903,2019,1600000,0.0
g10904,2019,1600000,0.0
g10905,2019,5983000,0.0
g10906,2019,5983000,0.0
g10907,2019,5983000,0.0
g10908,2019,5983000,0.0
g10909,2019,5983000,0.0
g10910,2019,5983000,0.0
g10911,2019,5983000,0.0
g10912,2019,5983000,0.0
g10913,2019,5983000,0.0
g10914,2019,5983000,0.0
g10915,2019,5983000,0.0
g10916,2019,5983000,0.0
g10917,2019,1616000,50829.48679245282
g10918,2019,1616000,50829.48679245282
g10919,2019,1616000,50829.48679245282
g10920,2019,1600000,0.0
g10921,2019,1600000,0.0
g10922,2019,1600000,0.0
g10923,2019,1600000,0.0
g10924,2019,1600000,0.0
g10925,2019,1600000,0.0
g10926,2019,5983000,0.0
g10927,2019,5983000,0.0
g10928,2019,5983000,0.0
g10929,2019,5983000,0.0
g10930,2019,5983000,0.0
g10931,2019,5983000,0.0
g10932,2019,5983000,0.0
g10933,2019,5983000,0.0
g10934,2019,5983000,0.0
g10935,2019,1600000,0.0
g10936,2019,1600000,0.0
g10937,2019,1600000,0.0
g10938,2019,1600000,0.0
g10939,2019,1600000,0.0
g10940,2019,1600000,0.0
g10941,2019,1616000,159891.2363636364
g10942,2019,5983000,0.0
g10943,2019,1616000,167459.51489361702
g10944,2019,1616000,166509.0799154334
g10945,2019,5983000,0.0
g10946,2019,5983000,0.0
g10947,2019,5983000,0.0
g10948,2019,1600000,0.0
g10949,2019,1600000,0.0
