GENERATION_PROJECT,timepoint,gen_max_capacity_factor
g12649i,2,0.4013
g12687i,2,0.3398
g12688i,2,0.3021
g12689i,2,0.3018
g12693i,2,0.3363
g12694i,2,0.3357
g12695i,2,0.3345
g12711i,2,0.3038
g12712i,2,0.3028
g12713i,2,0.3047
g12717i,2,0.3234
g12725i,2,0.2847
g12726i,2,0.2824
g12727i,2,0.2823
g12728i,2,0.3334
g12732i,2,0.3046
g12733i,2,0.2798
g12734i,2,0.2809
g12738i,2,0.3024
g12739i,2,0.3037
g12740i,2,0.3028
g12741i,2,0.3014
g12742i,2,0.2806
g12743i,2,0.2825
g12744i,2,0.2808
g12745i,2,0.2822
g12751i,2,0.3728
g12752i,2,0.3703
g12758i,2,0.3399
g12778i,2,0.3124
g12779i,2,0.3065
g12780i,2,0.3063
g12781i,2,0.306
g12794i,2,0.4021
g12795i,2,0.3941
g12796i,2,0.3936
g12810i,2,0.3638
g12811i,2,0.3637
g12821i,2,0.3407
g12822i,2,0.3421
g12851i,2,0.3987
g12853i,2,0.4634
g13911i,2,0
g13912i,2,0
g13913i,2,0
g13914i,2,0
g13915i,2,0
g13916i,2,0
g13917i,2,0
g13918i,2,0
g13919i,2,0
g13920i,2,0
g13921i,2,0
g13922i,2,0
g13923i,2,0
g13924i,2,0
g13925i,2,0
g13926i,2,0
g13927i,2,0
g13928i,2,0
g13929i,2,0
g13930i,2,0
g13931i,2,0
g13932i,2,0
g13933i,2,0
g13934i,2,0
g14007i,2,0.3827
g14008i,2,0.4266
g14009i,2,0.4634
g14010i,2,0.201
g14011i,2,0.4634
g14012i,2,0.2768
g14013i,2,0.4634
g14014i,2,0.3511
g14015i,2,0.3511
g14016i,2,0.3412
g14017i,2,0.4705
g14018i,2,0.4682
g14019i,2,0.4634
g10397i,3,0.224
g10400i,3,0.2426
g10401i,3,0.1791
g10428i,3,0.2607
g10442i,3,0.3293
g10458i,3,0.3332
g10463i,3,0.2147
g10475i,3,0.2561
g10522i,3,0.252
g10541i,3,0.2099
g10559i,3,0.2136
g10560i,3,0.3462
g10569i,3,0.2378
g10570i,3,0.2613
g10571i,3,0.261
g10572i,3,0.2516
g10617i,3,0.3444
g10618i,3,0.3452
g10623i,3,0.38
g10624i,3,0.3797
g10629i,3,0.2409
g10630i,3,0.2233
g10642i,3,0.1541
g10652i,3,0.278
g10653i,3,0.2083
g10660i,3,0.2609
g10661i,3,0.229
g10662i,3,0.229
g10681i,3,0.3047
g10682i,3,0.3045
g10683i,3,0.186
g10684i,3,0.1849
g10685i,3,0.1846
g10686i,3,0.1837
g10694i,3,0.254
g10722i,3,0.1543
g10725i,3,0.2946
g10726i,3,0.2221
g10727i,3,0.2255
g10738i,3,0.1519
g10748i,3,0.309
g10752i,3,0.2385
g10753i,3,0.2379
g10754i,3,0.2378
g10755i,3,0.2402
g10756i,3,0.2081
g10767i,3,0.2678
g10768i,3,0.3103
g10769i,3,0.3106
g10789i,3,0.2549
g10790i,3,0.2548
g10806i,3,0.303
g10807i,3,0.3041
g10808i,3,0.3047
g10819i,3,0.2335
g10872i,3,0.1855
g11033i,3,0.1845
g11034i,3,0.1845
g11035i,3,0.1852
g11036i,3,0.1869
g11041i,3,0.1669
g11042i,3,0.1697
g11043i,3,0.1679
g11044i,3,0.1679
g11045i,3,0.1691
g11046i,3,0.1673
g11080i,3,0.1855
g11081i,3,0.1849
g11082i,3,0.1837
g11083i,3,0.1848
g11087i,3,0.1855
g11100i,3,0.1856
g11101i,3,0.1853
g11122i,3,0.1729
g11123i,3,0.1719
g11135i,3,0.1849
g11340i,3,0.3909
g11341i,3,0.3537
g11352i,3,0.3522
g11356i,3,0.3767
g11357i,3,0.3527
g11358i,3,0.3515
g11380i,3,0.3869
g11381i,3,0.3861
g11398i,3,0.3525
g11399i,3,0.3535
g11427i,3,0.3525
g11428i,3,0.3521
g11429i,3,0.3537
g11430i,3,0.3523
g11431i,3,0.3542
g11432i,3,0.3528
g11433i,3,0.3532
g11434i,3,0.3519
g11435i,3,0.3517
g11436i,3,0.3535
g11437i,3,0.353
g11438i,3,0.3804
g11439i,3,0.3798
g11440i,3,0.383
g11441i,3,0.3815
g11442i,3,0.3845
g11443i,3,0.3813
g11448i,3,0.3797
g11449i,3,0.3799
g11450i,3,0.3798
g11451i,3,0.3796
g11456i,3,0.3529
g11457i,3,0.2923
g11458i,3,0.2915
g11480i,3,0.354
g11481i,3,0.3526
g11489i,3,0.3511
g11495i,3,0.3535
g11520i,3,0.3802
g11548i,3,0.3754
g11564i,3,0.3546
g11565i,3,0.3544
g11566i,3,0.3793
g11567i,3,0.3796
g11568i,3,0.3787
g11569i,3,0.3789
g11623i,3,0.3537
g11638i,3,0.3529
g11656i,3,0.2269
g11685i,3,0.3143
g11724i,3,0.2278
g11752i,3,0.1653
g11753i,3,0.1642
g11754i,3,0.1665
g11779i,3,0.2796
g11789i,3,0.2266
g11790i,3,0.227
g11873i,3,0.2272
g11874i,3,0.2272
g11875i,3,0.2264
g11876i,3,0.228
g11877i,3,0.2266
g11878i,3,0.2264
g11886i,3,0.2278
g11887i,3,0.2267
g11888i,3,0.2255
g11889i,3,0.2276
g11890i,3,0.2272
g11891i,3,0.2262
g11900i,3,0.2517
g11901i,3,0.2508
g11902i,3,0.2531
g11903i,3,0.2275
g11904i,3,0.2276
g11999i,3,0.3662
g12076i,3,0.2774
g12125i,3,0.2507
g12231i,3,0.2286
g12275i,3,0.3234
g12310i,3,0.3047
g12316i,3,0.3019
g12319i,3,0.4251
g12320i,3,0.426
g12355i,3,0.3311
g12383i,3,0.3766
g12384i,3,0.4153
g12410i,3,0.4728
g12411i,3,0.468
g12412i,3,0.4678
g12419i,3,0.4438
g12420i,3,0.3566
g12421i,3,0.4617
g12425i,3,0.3789
g12447i,3,0.4445
g12448i,3,0.4428
g12451i,3,0.4685
g12454i,3,0.3579
g12479i,3,0.4534
g12496i,3,0.3581
g12525i,3,0.4193
g12526i,3,0.4183
g12527i,3,0.4276
g12563i,3,0.4665
g12567i,3,0.4791
g12568i,3,0.4764
g12569i,3,0.477
g12583i,3,0.4275
g12585i,3,0.4971
g12586i,3,0.4964
g12591i,3,0.4779
g12592i,3,0.4777
g12597i,3,0.4916
g12598i,3,0.4909
g12599i,3,0.4896
g12600i,3,0.4908
g12601i,3,0.4934
g12602i,3,0.3766
g12608i,3,0.4662
g12617i,3,0.4144
g12618i,3,0.414
g12623i,3,0.435
g12641i,3,0.397
g12646i,3,0.4716
g12647i,3,0.4704
g12648i,3,0.4361
g12649i,3,0.4367
g12687i,3,0.3146
g12688i,3,0.3216
g12689i,3,0.3207
g12693i,3,0.352
g12694i,3,0.3532
g12695i,3,0.3517
g12711i,3,0.3198
g12712i,3,0.32
g12713i,3,0.3208
g12717i,3,0.2765
g12725i,3,0.2602
g12726i,3,0.2588
g12727i,3,0.2586
g12728i,3,0.3119
g12732i,3,0.2826
g12733i,3,0.2593
g12734i,3,0.2578
g12738i,3,0.3209
g12739i,3,0.3205
g12740i,3,0.3197
g12741i,3,0.3225
g12742i,3,0.258
g12743i,3,0.2588
g12744i,3,0.2569
g12745i,3,0.2582
g12751i,3,0.3408
g12752i,3,0.3412
g12758i,3,0.3143
g12778i,3,0.3354
g12779i,3,0.3139
g12780i,3,0.3132
g12781i,3,0.3125
g12794i,3,0.3984
g12795i,3,0.4118
g12796i,3,0.412
g12810i,3,0.3662
g12811i,3,0.3654
g12821i,3,0.3546
g12822i,3,0.3535
g12851i,3,0.3975
g12853i,3,0.4584
g13911i,3,0
g13912i,3,0
g13913i,3,0
g13914i,3,0
g13915i,3,0
g13916i,3,0
g13917i,3,0
g13918i,3,0
g13919i,3,0
g13920i,3,0
g13921i,3,0
g13922i,3,0
g13923i,3,0
g13924i,3,0
g13925i,3,0
g13926i,3,0
g13927i,3,0
g13928i,3,0
g13929i,3,0
g13930i,3,0
g13931i,3,0
g13932i,3,0
g13933i,3,0
g13934i,3,0
g14007i,3,0.3585
g14008i,3,0.376
g14009i,3,0.4141
g14010i,3,0.2092
g14011i,3,0.4141
g14012i,3,0.3171
g14013i,3,0.4141
g14014i,3,0.3523
g14015i,3,0.3523
g14016i,3,0.3545
g14017i,3,0.4517
g14018i,3,0.446
g14019i,3,0.4141
g10397i,4,0.1471
g10400i,4,0.1907
g10401i,4,0.1335
g10428i,4,0.1711
g10442i,4,0.2207
g10458i,4,0.2414
g10463i,4,0.1428
g10475i,4,0.179
g10522i,4,0.1759
g10541i,4,0.1617
g10559i,4,0.1612
g10560i,4,0.2298
g10569i,4,0.1604
g10570i,4,0.1702
g10571i,4,0.1697
g10572i,4,0.1752
g10617i,4,0.2301
g10618i,4,0.2299
g10623i,4,0.2707
g10624i,4,0.272
g10629i,4,0.1477
g10630i,4,0.1469
g10642i,4,0.1302
g10652i,4,0.1683
g10653i,4,0.1374
g10660i,4,0.2712
g10661i,4,0.1538
g10662i,4,0.1532
g10681i,4,0.2289
g10682i,4,0.2297
g10683i,4,0.1513
g10684i,4,0.1514
g10685i,4,0.1513
g10686i,4,0.151
g10694i,4,0.1784
g10722i,4,0.1269
g10725i,4,0.1882
g10726i,4,0.1396
g10727i,4,0.1393
g10738i,4,0.1312
g10748i,4,0.1868
g10752i,4,0.1277
g10753i,4,0.128
g10754i,4,0.1283
g10755i,4,0.1285
g10756i,4,0.1393
g10767i,4,0.176
g10768i,4,0.1865
g10769i,4,0.187
g10789i,4,0.1775
g10790i,4,0.1783
g10806i,4,0.2306
g10807i,4,0.2296
g10808i,4,0.2296
g10819i,4,0.1965
g10872i,4,0.1024
g11033i,4,0.1025
g11034i,4,0.1025
g11035i,4,0.1033
g11036i,4,0.1028
g11041i,4,0.0824
g11042i,4,0.0826
g11043i,4,0.0825
g11044i,4,0.0829
g11045i,4,0.0832
g11046i,4,0.0825
g11080i,4,0.1024
g11081i,4,0.103
g11082i,4,0.1024
g11083i,4,0.1024
g11087i,4,0.1024
g11100i,4,0.1027
g11101i,4,0.1024
g11122i,4,0.0886
g11123i,4,0.0885
g11135i,4,0.1026
g11340i,4,0.2943
g11341i,4,0.2264
g11352i,4,0.2269
g11356i,4,0.2667
g11357i,4,0.2273
g11358i,4,0.227
g11380i,4,0.3265
g11381i,4,0.3256
g11398i,4,0.2278
g11399i,4,0.2281
g11427i,4,0.2265
g11428i,4,0.2265
g11429i,4,0.2279
g11430i,4,0.2268
g11431i,4,0.2271
g11432i,4,0.2274
g11433i,4,0.2277
g11434i,4,0.2271
g11435i,4,0.2265
g11436i,4,0.2268
g11437i,4,0.2271
g11438i,4,0.2885
g11439i,4,0.2884
g11440i,4,0.2882
g11441i,4,0.2884
g11442i,4,0.2885
g11443i,4,0.2883
g11448i,4,0.2765
g11449i,4,0.2774
g11450i,4,0.2757
g11451i,4,0.2767
g11456i,4,0.2281
g11457i,4,0.166
g11458i,4,0.1652
g11480i,4,0.2271
g11481i,4,0.2269
g11489i,4,0.2261
g11495i,4,0.2269
g11520i,4,0.2768
g11548i,4,0.2658
g11564i,4,0.2273
